C 32 47
N 0.0 0.0 
N 0.0 0.0 
N 0.0 0.0
N 0.0 0.0
N 0.3 0.0
N 0.0 0.5
N 0.0 0.9
N 0.0 0.0
N 0.0 0.6
N 0.0 0.0
N 0.9 0.0
N 0.0 0.0
N 0.0 0.9
N 0.0 0.0
N 0.0 0.0
N 0.8 0.0
N 0.3 0.0
N 0.0 0.0
N 0.8 0.0
N 0.0 0.0
N 0.0 0.0
N 0.0 0.0
N 0.0 0.0
N 0.0 0.0
N 0.0 0.0
N 0.0 0.0
N 0.0 0.0
N 0.0 0.0
N 0.0 0.0
N 0.0 0.0
N 0.0 0.0 
N 0.0 0.0
R AND 0 1 2 
R OR 1 3 4 
R +%0.4 1 29 
R *%0.4 1 29
R OR 2 5 6 7 8
R OR 3 9 10 11
R -%1.0 5 18
R /%1.0 5 18
R +%0.8 6 25
R *%0.8 6 25
R AND 7 12 13
R OR 9 14 15
R OR 11 16 17 18
R +%0.8 11 13 
R *%0.8 11 13 
R OR 13 19 20
R -%0.8 15 21
R /%0.8 15 21
R -%1.0 18 5
R /%1.0 18 5
R +%0.4 18 22
R *%0.4 18 22
R +%0.6 21 23 
R *%0.6 21 23 
R +%0.6 21 24
R *%0.6 21 24
R -%0.8 22 26 
R /%0.8 22 26 
R -%0.4 24 25 
R /%0.4 24 25 
R +%0.6 25 26 
R *%0.6 25 26 
R -%0.7 27 12
R /%0.7 27 12
R +%0.3 28 5 
R *%0.3 28 5 
R +%0.4 29 10
R *%0.4 29 10
R -%0.5 29 5
R /%0.5 29 5
R +%0.8 29 27
R *%0.8 29 27
R +%0.7 29 28
R *%0.7 29 28
R -%0.6 1 31
R -%0.6 31 30
R -%0.6 30 1
